,page,raw_data
0,CoachingDot,"
非常感謝大家的支持和鼓勵
讚好
 · 回覆 · 20星期
檢視另3則回應
其他帖子
"
1,CoachingDot," 覺得感恩。
5月4日
  ·
信念，就是即使看不清楚階梯，仍然能踏出腳步。
馬丁．路德．金恩
這樣，我們可以一步一步前行，一邊發現新事物，一邊調整方向。不久，目標便會漸漸靠近！
#鄺頌安
#生命教練
#再生勇士
#堅持信念
3
3
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
2,CoachingDot,"
4月29日
  ·
什麼是 Coaching?
過程中可以帶你從危機中發現機會
#coaching #coach #教練學 #教練 #危機 #機會
4
4
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
3,CoachingDot,"
4月28日
  ·
【有關視障人士的迷思】
【出行篇】
【幫助視障人士的領路法】
有些視障人士在自己熟悉的地方活動時，可以自行找到目的地。如果在路上遇見視障人士想要幫忙的話，應先詢問他是否需要協助。然後領路者可用手背輕觸視障人士的手背，提醒他可以抓著你的手肘，你可以移前半步位置。步行的時候可以詢問視障人士步速是否合適，在途中告訴視障人士路況的變化和樓梯的位置。例如，可在梯級前停下，提醒視障人士梯級是上還是下。到達目的地時，應該提示視障人士已到達目的地。
資料來源：
《睇」育學院︳白杖哥哥白杖姐姐—領路法篇》香港失明人協進會
《視障知多少》香港失明人協進會
圖片來自網上 
#視障人士 #傷健共融 #迷思 #白杖 #視障人士出行 #領路法
4
4
4次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
4,CoachingDot,"
4月27日
  ·
心靈雞湯
成長不是改變自己，而是要不斷完善自己
#心靈雞湯 #停一停 #思考
4
4
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
5,CoachingDot,"
4月22日
  ·
什麼是 Coaching?
在對話中看見你的方向
#coaching #對話 #教練學 #人生 #方向
5
5
4次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
6,CoachingDot,"
4月21日
  ·
【有關視障人士的迷思】
【出行篇】
【引路徑的作用】
引路徑是一種為視障人士指引方向的無障礙設施，對視障人士出行有重要的指引作用，所以大家平時請注意不要阻塞引路徑。不知道大家平時有沒有注意到，引路徑上的圖案不止一種。其實，引路徑上不同的圖案各有意思，而香港引路徑的圖案有三種。⋯⋯ 查看更多
5
5
2次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
7,CoachingDot,"
4月20日
  ·
心靈雞湯
黑暗令人珍惜光明，寂靜令人喜愛聲音
#心靈雞湯 #停一停 #思考
2
2
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
8,CoachingDot,"
4月19日
  ·
行家前的好學生
 親戚中有兩位長輩，其一曾是建築判頭，其一曾經營魚檔，他們每次到我家做客，總要對牆上油漆的用料和桌上海鮮的質素等品評一番。恍惚只要出自他倆的手筆，客人便可擁有五星級體驗。我從事教練和培訓活動數年，有時也發現自己在參與一些外間培訓時，跌入了旁觀者和評論者的角色，失去應有的投入感和求知欲。
 我跟其他教練交流時，發現這現象並不罕見。曾有一位任職公營機構高管的教練，被安排參與《職場教練學》課程，簡直是老師變學生。但我們也明白，在課堂內鋒芒太露並無益處。唯有將評論吞回肚裡，勉強做一名“好學生”。
 直到一天，有位教練在分享他的處理手法時，給了我很大的提醒。他說既然他是一位教練，進入課室裡也是一位教練。而教練的精神，就是“不知道“，就是通過提問引發思考。我們面對一般客戶，很容易引發好奇心，用提問去探索未知。怎麼一旦成了學生，這些技巧都不翼而飛？作為“專業”的學生，不是應該通過向導師提問，釐清一些模糊的觀點？遇上與自己認知相反的概念，更應以技巧的提問和開放的態度，請導師分析當中的理據。既然教練的核心價值，是相信個人擁有無限的潛能，就算身份上⋯⋯ 查看更多
4
4
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。"
9,CoachingDot,"
4月19日
  ·
行家前的好學生
 親戚中有兩位長輩，其一曾是建築判頭，其一曾經營魚檔，他們每次到我家做客，總要對牆上油漆的用料和桌上海鮮的質素等品評一番。恍惚只要出自他倆的手筆，客人便可擁有五星級體驗。我從事教練和培訓活動數年，有時也發現自己在參與一些外間培訓時，跌入了旁觀者和評論者的角色，失去應有的投入感和求知欲。
 我跟其他教練交流時，發現這現象並不罕見。曾有一位任職公營機構高管的教練，被安排參與《職場教練學》課程，簡直是老師變學生。但我們也明白，在課堂內鋒芒太露並無益處。唯有將評論吞回肚裡，勉強做一名“好學生”。
 直到一天，有位教練在分享他的處理手法時，給了我很大的提醒。他說既然他是一位教練，進入課室裡也是一位教練。而教練的精神，就是“不知道“，就是通過提問引發思考。我們面對一般客戶，很容易引發好奇心，用提問去探索未知。怎麼一旦成了學生，這些技巧都不翼而飛？作為“專業”的學生，不是應該通過向導師提問，釐清一些模糊的觀點？遇上與自己認知相反的概念，更應以技巧的提問和開放的態度，請導師分析當中的理據。既然教練的核心價值，是相信個人擁有無限的潛能，就算身份上是學生，也要成為他人學習上的教練。
睿知教練
#不知道 #提問 #好奇 #學生 #培訓 #教練 #睿知教練 #CoachMerrick
4
4
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
