,page,raw_data
0,HKBlindUnion,"
Connie S Fong 多謝
讚好
 · 回覆 · 3天
你選擇了「最相關」，因此系統可能已過濾掉部分回應。
其他帖子
"
1,HKBlindUnion,"
7月30日 22:54
  ·
余溢明
7月30日 14:55
  ·
今早見證何詩蓓在奧運以破亞洲紀錄時間，替香港勇奪銀牌，可惜隨後香港羽毛球混雙代表謝影雪、鄧俊文，在銅牌爭奪戰中惜敗。多謝本港泳隊及羽毛球隊上下給大家正能量！
我特別鳴謝兩位拍檔及幕後人員，一同製作直播節目給視障人士。特別一提，我左邊那位同學仔只有15歲，來自 #天主教慈幼會伍少梅中學  的周嘉銘是第一次參加口述服務，以⋯⋯ 查看更多
62
62
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
2,HKBlindUnion,"
7月30日 19:30
  ·
【睇•字典-- SECURED！】
用 最貼地 最簡單 最直接的方式
與大家分享，日常生活被遺忘的細節
這些細節卻對視障人士來說卻非常重要。
多留心 多關注 SECURED!
睇•字典《第四篇（引路徑）》
上次第三篇介紹了平時路上見到大圓點引路徑——警示磚，今次【睇•字典】就為大家講解小圓點「位置磚」，它們外貌有點似，但是它們對視障人士有不同的作用~
位置磚【wai6 zi3 zyun1】
以凸起的小圓點組成，提示視障人士到達某個具體位置或道路轉彎大於 30 度
位置磚的直徑23毫米的凸起圓點交錯排列，每塊面積300毫米 x 300毫米，
整體面積600毫米 x 600毫米，在轉向位置鋪砌。它們通常設於觸覺引路帶交界處，提示視障人士以示轉向；另外如果是提示視障人士到達某個具體位置的話，它們通常會以複數平鋪在位置的600毫米附近，讓視障人士順利到達位置。
引路徑是一種為視障人士進行道路指引的公共設施，想重溫引路徑的睇•字典可以按#睇字典，同時希望大家不要在引路徑上擺放任何雜物
，方便視障人士前行
一連四篇以引路徑為主的睇•字典在這裏畫上句號，想知道下一期的睇•字典主題資訊就要密切期待更新~
大家可以點讚、留言和分享給身邊的朋友。希望大家期待以後的睇•字典更新。
#香港失明人協進會 #hongkongblindunion #睇字典 #引路徑 #guidepath #
 #
19
19
6次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
3,HKBlindUnion,"
7月30日 09:12
  ·
一陣9:50 同大家一齊直擊香港運動員嘅賽事
包括有何詩蓓出戰嘅女子100米自由式決賽，以及係謝影雪同鄧俊文出戰嘅羽毛球混雙銅牌戰。
三位都有機會衝擊獎牌，我地陪大家一齊睇，
直接登入以下網址就可以收聽到口述影像㗎啦:￼
￼ https://www.jcspa.hk/programme/epg/324
"
4,HKBlindUnion,"
7月22日 19:28
  ·
[賽馬會開聲體體育口述影像服務 同大家一齊備戰奧運]
東京奧運好快就開幕，賽馬會開聲體體育口述影像服務當然會同各位視障朋友一齊支持我地香港嘅運動員，以及係欣賞世界級嘅體育比賽。為咗令大家睇奧運之前有更充足嘅準備，我哋好榮幸邀請到賽馬會開聲體體育口述影像服務嘅顧問、香港浸會大學體育學系副教授、同時又係香港電台體育資訊節⋯⋯ 查看更多
17
17
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
5,HKBlindUnion,"
7月29日 17:56
  ·
HKCSS 香港社會服務聯會 
7月25日 07:00
  ·
【新書│疫光飛行】抗逆實錄：看不見的防疫挑戰
「#香港失明人協進會」副會長Jason（何家樑）慨嘆，不論疫情前後，視障人士最大的難關 ，從來都是就業的局限。一般僱主對他們真正的能力認識不足，本來已不會主動聘請，但「一要裁員，就好大機會裁走你先。」
所以，早於2020年疫情一開始，協進會就預想到，很多會員未來一年都不⋯⋯ 查看更多
24
24
4次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
6,HKBlindUnion,"
7月28日 15:57
  ·
【新一期義工招募
】
大家好，香港失明人協進會新一期義工招募又開始了，歡迎各位有興趣成為本會義工之人士參與本會專為新義工而設的培訓，以認識更多視障人士的需要。
香港失明人協進會的活動多元化，多年來深得義工的支持和協助，令各類活動得以順利進行。歡迎熱心投入義務工作的人士加入我們的義工隊伍。由於新義工在投入服務前必須接受培訓，就此本會將舉辦新一期義工培訓，詳情如下︰⋯⋯ 查看更多
49
49
1 個回應
11次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
義工情報局 V.I.A
活動幫唔到手唔緊要，幫手轉發都得㗎！！⋯⋯ 查看更多
讚好
 · 回覆 · 1星期
"
7,HKBlindUnion,"
7月27日 14:43
  ·
休Cafe裝修大致完成
8月6日將開始開放予公眾預約按摩服務，更特別推出新張期間限定優惠，$250便可購得60分鐘頭肩頸按摩服務連飲品一杯。
新嘗試新體驗
全港首間「按摩x 咖啡」社企cafe⋯⋯ 查看更多
+3
休Yau Cafe
7月27日 14:26
  ·
/ 休 ． 最新消息 \
休Cafe 的裝修工程終於大致完成，現正等待食肆牌照的批出。這段期間我們利用Cafe 繼續讓視障咖啡師作實地培訓及內部試業 (不設對外開放，只限獲邀人士參與)。而8月6日將開始開放予公眾預約按摩服務，更特別推出新張期間限定優惠，$250便可購得60分鐘頭肩頸按摩服務連飲品一杯，非常超值。⋯⋯ 查看更多
120
120
1 個回應
13次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Judy Lo
讚好
 · 回覆 · 1星期
"
8,HKBlindUnion,"
7月23日 18:48
  ·
[為香港運動員打氣]
奧運會即將開幕(仲有十分鐘唔夠)，大家最關心嘅應該就係香港運動員嘅動向啦，今屆香港運動員到底參加啲咩嘅項目，同埋有啲咩看頭呢？
奧運進行期間，賽馬會開聲體體育口述影像服務都會舉辦實體或者係網上活動，邀請視障朋友同我哋一齊直擊比賽過程，大家記得留意我地網台嘅公佈。⋯⋯ 查看更多
23
23
3次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。"
9,HKBlindUnion,"
7月27日 14:43
  ·
休Cafe裝修大致完成
8月6日將開始開放予公眾預約按摩服務，更特別推出新張期間限定優惠，$250便可購得60分鐘頭肩頸按摩服務連飲品一杯。
新嘗試新體驗
全港首間「按摩x 咖啡」社企cafe
視障按摩師 x 視障咖啡師
自力更生 x 助人自助
/ 休 \
FB： @yau.cafe
電話︰3611 9693
網頁︰http://www.yaucafe.com/
地點︰西營盤西源里1號 瑧蓺地下1號舖 (西營盤港鐵站B3出口)
 #由香港失明人協進會營運的社企cafe #多多指教
#香港失明人協進會 #HongKongBlindUnion
+3
休Yau Cafe
7月27日 14:26
  ·
/ 休 ． 最新消息 \
休Cafe 的裝修工程終於大致完成，現正等待食肆牌照的批出。這段期間我們利用Cafe 繼續讓視障咖啡師作實地培訓及內部試業 (不設對外開放，只限獲邀人士參與)。而8月6日將開始開放予公眾預約按摩服務，更特別推出新張期間限定優惠，$250便可購得60分鐘頭肩頸按摩服務連飲品一杯，非常超值。⋯⋯ 查看更多
120
120
1 個回應
13次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Judy Lo
1
讚好
 · 回覆 · 1星期
"
10,HKBlindUnion,"
7月23日 18:48
  ·
[為香港運動員打氣]
奧運會即將開幕(仲有十分鐘唔夠)，大家最關心嘅應該就係香港運動員嘅動向啦，今屆香港運動員到底參加啲咩嘅項目，同埋有啲咩看頭呢？
奧運進行期間，賽馬會開聲體體育口述影像服務都會舉辦實體或者係網上活動，邀請視障朋友同我哋一齊直擊比賽過程，大家記得留意我地網台嘅公佈。
第一個活動當然係一齊睇奧運開幕典禮，將會由體育口述影像培訓班嘅學員同大家一齊見證呢一個盛典: https://www.jcspa.hk/programme/epg/316
或者透過Zoom 加入我地: 會議室編號399 607 6000
23
23
3次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
11,HKBlindUnion,"
7月23日 13:17
  ·
[東京奧運就開幕啦]￼
嚟到開幕前半日，雷雄德博士會繼續同大家介紹今屆奧運會新增嘅比賽項目、同埋講吓有啲國家居然唔可以參加比賽喎，點解呢？
奧運進行期間，賽馬會開聲體體育口述影像服務都會舉辦實體或者係網上活動，邀請視障朋友同我哋一齊直擊比賽過程，大家記得留意我地網台嘅公佈：https://www.jcspa.hk/press/upcoming/315 
第一個活動當然係一齊睇奧運開幕典禮，將會由體育口述影像培訓班嘅學員同大家一齊見證呢一個盛典，今晚7點見。
#賽馬會開聲體體育口述影像服務 #視障人士 #口述影像 #東京奧運 #Toyko2020 #雷雄德博士 #雷sir
13
13
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
