,page,raw_data
0,HKNPIS,"
7月19日 13:09
  ·
「傷健綜合藝術團」第一期表演項目花絮片段
由羅騰祥慈善基金贊助的「傷健綜合藝術團」於2019年成立，這隊由跨殘障類別(視障和聽障)和跨年齡組別組成的藝術隊伍，在過去的表演已獲得各界認同和讚賞，並得到媒體訪問報導，令很多社會人士首次認識到殘障人士的藝術才華以及挑戰不可能的勇氣！
第一期的項目包括綜合素材畫班、沙畫班、魔術班以及無伴奏合唱班(A cappella)，藝術團分別到了不同的非牟利機構演出，你又最喜歡哪一項？
來年，「傷健綜合藝術團」第二期將推出更多精彩項目，敬請大家繼續期待和支持！！
捐款支持"
1,HKNPIS,"的工作：
https://www.inclusive.org.hk/donate 
#TSL #藝術表演 #Inclusive #HKNPIS
#羅騰祥慈善基金 #傷健綜合藝術團 #魔術 
Sand Tales 沙說 -沙畫
星格流行音樂學院 Starry World Music Academy
基督教關懷無家者協會 Christian Concern for the Homeless Association
#真光苑長者地區中心
傳送訊息
75
75
8個回應
19次分享
讚好
回應
分享
8個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Margaret Chui
好激勵
很欣賞你們一直嘅努力為大家帶來新嘗試、新學習機會
片，拍同剪也非常了得，有活力！姿，你聲線永遠都咁甜、好吸引
2
讚好
 · 回覆 · 2星期
作者
"
2,HKNPIS,"
畫面裡盡是熟悉的臉孔，多謝你地支持傷健綜合藝術團呀！
讚好
 · 回覆 · 訊息 · 2星期
檢視另4則回應
"
3,HKNPIS,"
7月14日 12:12
  ·
社區探索逍遙遊第五擊之大會堂午間音樂會及高智爾球
7月13日，我們一行17人於中午到香港大會堂欣賞午間音樂會。今場音樂會由香港管弦樂團擔任演出。當香港首屈一指的鋼琴家：李嘉齡小姐，演奏*聖桑- -降B大調鋼琴四重奏，作品 41的時候，章節還未完成，台下嘅觀眾已經忍不住報以熱烈嘅掌聲，可想而知樂章有多大張力。
欣賞完畢之後，梗係要嘆一個靚靚下午茶，義工與視障朋友們繼續熱烈討論剛才的演出，個個都意猶未盡。
之後，我們便到鄰近的海濱公園，嘗試去體驗歷史悠久嘅高智爾球。高智爾球是源自於古代皇室的宮廷運動，我們都很榮幸有份參與其中！雖然烈日當空，每位會員都汗流浹背，但係當會員擊中皮球的一剎，大家都齊齊歡呼，雀躍萬分！
最後，非常感謝福慧國際慈善基金派出三名義工：Kitt、Andy、蘭蘭，幫助我們完成整個活動。另外非常感謝我們的聰明使者(義務補習老師)Monique前來協助我們
#福慧國際慈善基金 #高智爾球 #海濱公園 #莫奈花園 #香港管弦樂團 #李嘉齡 #古代皇室的宮廷運動 HK Wiser Ball
48
48
3個回應
4次分享
讚好
回應
分享
3個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
HK Wiser Ball
  ·
追蹤
感謝大家出席Wiser活動，體驗打wiser球的樂趣。期望日後能再舉辦更多活動，與大家一起打球。
1
讚好
 · 回覆 · 3星期
檢視另2則回應
"
4,HKNPIS,"發佈了 1 個工作機會。
7月12日 16:30
  ·
本會現誠聘兼職手語翻譯員
職責：協助本會各類型課程、活動之手語翻譯工作
條件：
- 持有本地合資格手語高級課程或手語翻譯培訓課程證書，或具同等資歷
- 具備良好的溝通能力及協作能力
- 有手語翻譯經驗者優先
- 或需於星期六日工作
薪酬：面議，視乎經驗而定
有興趣者請連同個人履歷電郵至 info@inclusive.org.hk，請註明申請職位、可到職日期及要求待遇
申請⼈所提供的資料將予保密及只作招聘有關職位⽤途。
"
5,HKNPIS,"
誠聘兼職手語翻譯員
香港 · 兼職
馬上申請
19
19
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
6,HKNPIS,"
7月9日 15:49
  ·
協助視障人士登記消費券
本會將於即日起(2021年7月9日)為視障人士提供預約協助登記政府消費券計劃，如你身邊有視障人士需要此服務，歡迎轉介。
視障人士只需致電預約，便可免費享用此服務。
預約電話：2771 9666
預約時間：星期一至五(公眾假期除外)，早上10時至下午1時；下午3時至6時
辦理地點："
7,HKNPIS," (地址：油麻地彌敦道557-559號永旺行12樓B室，油麻地站A1出口)
辦理方法：以手機網上登記或填寫紙本表格均可
登記消費券時所需文件：
1) 香港身份證 (登記時需填寫身份證簽發日期)
2) 早前用以收取「現金發放計劃」款項之銀行帳戶號碼的最後5位數或領取支票的郵局
3) 手提電話
注意事項：
1) 可選用八達通卡號碼 /支付寶香港 特定識別號碼 / Tap & Go「拍住賞」特定識別號碼 / WeChat Pay HK 帳戶號碼作登記
2) 如於7月17日或之前網上登記，第一期消費券將於2021年8月1日發放；所有書面登記及如於7月18日至8月14日網上登記，第一期消費券將於2021年9月1 日發放。
3) 市民在完成電子登記後約一星期會收到有關登記結果的短訊通知，遞交書面登記表格的市民則會於約兩星期收到通知。
24
24
6次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
8,HKNPIS,"
7月7日 11:22
  ·
社區探索逍遙遊
本會最受歡迎活動之一，社區探索逍遙遊第四擊之滾動愛情學，在過去的週六(7月3日)順利舉行。
當天我們的義工和視障會員一行26人相約在黃大仙冰室，嘆返一個靚靚下午茶。之後我們便懷著期待的心情到黃大仙社區中心，欣賞一場由「兩個碌小搞作」主辦及製作，並由殘疾人士演出的舞台劇：「滾動愛情學」。故事描述一對情侶如何克服困難，衝破殘疾，踏上人生美好的道路。⋯⋯ 查看更多
+2
35
35
3次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
9,HKNPIS,"
7月5日
  ·
助視障人士登記政府消費券計劃
政府推出消費券計劃，並提供網上登記形式讓市民登記。但對視障人士而言，要學習和成功登記的確存在不同程度的困難。有見及此，本會立即於7月5日(政府宣佈可登記的翌日)開辦工作坊，為視障會員安排一對一的指導及協助服務，令他們迅速成功登記。
當他們知道登記成功的一刻，個個視障朋友臉上都立即展露出欣喜的笑容！雖然這項工作的難度不算很高，但卻非常貼地，能夠急他人之所急，實實在在幫助視障會員。同時，透過不斷的教育和科技充權，一些原本懼怕運用科技的視障人士也開始漸漸體會到科技帶來的好處和便利，從而更願意學習新科技和新事物。本會定當繼續努力推動輔助科技的應用，期望做到科技復明！⋯⋯ 查看更多
37
37
2個回應
5次分享
讚好
回應
分享
2個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Wingsang Sin
感謝你哋，真係犀利， 我都認同你哋的做法係貼地， 唔係離地 ，有時我哋都唔想 批評政府，但實在政府一些政策官員 ，佢哋唔係當時人， 佢哋又唔係失明人， 感受唔到我哋嘅慘況， 所以要多啲諮詢同埋吸納唔同持份者，先能夠有進步嘅，多謝傷健共融網絡以及各位義工
讚好
 · 回覆 · 4星期
查看另 1 則回應
"
