,page,raw_data
0,HKSB1956," #隨時隨地口述影像
13
13
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
其他帖子
"
1,HKSB1956,"
6 小時
  ·
雖然東京奧運已經接近尾聲，但奧運狂熱仲未完啊
﹗恭賀港隊係女子乒乓球團體賽
，以及劉慕裳在空手道女子個人形項目
奪得銅牌
; 而兩個多星期後嘅8月24日，東京殘奧會就開幕啦﹗香港今屆會派出 24 名運動員分別參加射箭
、田徑
、硬地滾球、馬術
、游泳
、乒乓球
、輪椅劍擊
同埋今屆新增設嘅羽毛球
項目，當中一半運動員都係首次出戰殘奧會架﹗
先前小編到訪輪椅劍擊運動員 Yu Chui Yee 余翠怡屋企時，她就向我地展示左佢嘅威水史，並且向我地介紹左殘奧會嘅獎牌
，為了顧及視障人士嘅需要，除左刻有點字以及凹凸嘅坑紋之餘，仲會有不同嘅響聲。呢d獎牌都充滿著運動員係背後付出嘅艱辛汗水
﹗都好值得我地尊重﹗
前排翠怡都係Viu TV為多個劍擊賽事作專業旁述，兩個多星期後就到佢落場喇﹗大家都要幫第五次代表香港出征嘅七面殘奧金牌
得主余翠怡打打氣呀
-----------------------------------
Follow埋我哋香港盲人輔導會IG = hksb_1956
https://www.instagram.com/hksb_1956/
#香港盲人輔導會 #65周年 #余翠怡  #輪椅劍擊運動員 #殘疾人奧運會 #六十五載展光明 #全人服務樂傳承
13
13
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
2,HKSB1956,"
8月2日 18:15
  ·
Mindful Music 顧問團隊陳浩雲博士、香港理工大學復康治療服務系助理教授和香港盲人輔導會院舍服務職業治療師接受商業電台訪問關於應用静觀、音樂及樂齡科技與創新長者服務上。
如果大家想知多D，記得一陣下午六點半，收聽商業電台881人民大道中節目。
#商業電台881
#人民大道中
#MindfulMusic
https://www.881903.com/....../%E4%BA%BA%E6%B0%91%E5%A4......
881903.COM
人民大道中｜節目｜商業電台 881903
雷霆881｜人民大道中推廣解困新聞學，關心區議會、立法會，以至全世界不同議會如何解決問題。揭開言語偽術，具體深入研究，在人民大道中無分主持聽眾一同為未來找出路。
11
11
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
3,HKSB1956,"
8月2日 12:33
  ·
「視障長者服務跨專業實證研究」網上研討會
為慶祝香港盲人輔導會65周年，本會將於8月25日舉辦「視障長者服務跨專業實證研究」網上研討會。是次會議將匯集來自不同專業的專家，如言語治療師、職業治療師、物理治療師、社會工作者、護士、生物醫學工程師等，分享他們臨床的研究成果。期望建立一個以香港為基地的區域性跨學科和跨專業網絡，為視障長者提供更好的社區和院舍護理服務質素。
按此進行網上登記
https://forms.office.com/pages/responsepage.aspx......
22
22
5次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
4,HKSB1956," 的直播預告。
8月2日 12:29
  ·
8月25日週三 UTC+08 14:00
「視障長者服務跨專業實證研究」網上研討會
9 人將參加
有興趣
10
10
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
5,HKSB1956,"
7月31日 12:02
  ·
小編前日咪話去左一位殘奧運動員
嘅屋企，仲見到佢滿屋獎牌
嘅 (仲親手摸到奧運金牌
，好幸福
)。好啦，我開估啦，小編係到訪咗係殘疾人奧運會奪得過7金
3銀
1銅
佳績嘅香港輪椅劍擊運動員
 Yu Chui Yee 余翠怡屋企啊﹗至於小編到訪翠怡屋企有咩特別任務？又賣個關子先，且聽下回分解
翠怡呢位奧運冠軍
知道香港盲人輔導會成立65年以來，一直不斷為視障人士提供其所需服務，透過拓展與創新，以增加服務之全面性。一齊嚟聽下佢有咩祝賀說話同大家講啦
-----------------------------------
Follow埋我哋香港盲人輔導會IG = hksb_1956
https://www.instagram.com/hksb_1956/
#香港盲人輔導會 #65周年 #余翠怡  #輪椅劍擊運動員 #殘疾人奧運會 #六十五載展光明 #全人服務樂傳承
34
34
3次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
6,HKSB1956,"
7月30日 16:19
  ·
香港知專設計學院(HKDI) HKDI - Hong Kong Design Institute 去年與香港盲人輔導會合作，推出 “Design for Well-being: Light from the Dark” 計劃，一班設計系學生在多次與視障人士訪談過後，為視障人士設計便利生活的產品，包括遊戲和餐具，以提升他們的生活趣味及質素。是次和知專學生互相交流是一個良好的體驗，設計者透過與用家交流，除了能夠了解無障礙的概念之餘，更能明白視障人士的實際情況，在日後的設計工作上，能更設身處地考慮及兼顧不同人士的需要。
#香港知專設計學院 #HKDI #HongKongDesignInstitute
HK01.COM
黑暗遊戲｜大專生發明全新破冰遊戲黑暗版扭扭樂　冀讓「他們」擺脫單一娛樂
12
12
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
7,HKSB1956,"
7月29日 17:24
  ·
相信大家近日都浸淫在奧運的狂熱中，小編都恭喜
#張家朗、#何詩蓓 為香港贏得了獎牌
!真係好激動又好感動，香港運動員勁啊﹗
小編今日就到訪了另一位奧運運動員的家中，見到佢滿屋的獎牌都覺得真係十分厲害﹗
你又估下小編去了誰的家?
 (過兩日先開估)。俾d提示大家，這些包括殘疾人奧運會、亞洲殘疾人運動會等國際大賽的獎牌，為了顧及視障人士的需要，都刻有點字，以及凹凸的坑紋。這些獎牌都充滿著運動員在背後付出的辛酸和汗水﹗致敬﹗
-------------⋯⋯ 查看更多
49
49
3個回應
1 次分享
讚好
回應
分享
3個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Tina Cheung
暫停 GIF
讚好
 · 回覆 · 1星期
檢視另2則回應"
8,HKSB1956,"
7月26日 10:49
  ·
2020年10月，九龍盲人安老院綜合治療部「正」享「 樂」齡進行曲項目 (英文名稱: Mindful Music) 獲得匯豐私人銀行贊助超過港幣一佰二十萬元正進行兩年以「正念」、「音樂」及「樂齡科技」積極回應疫情下安老院內視障長者的精神健康需要。  
項目內容是由Mindful Music一眾顧問專家團隊針對視障長者的精神健康需要作度身訂造。主要是以音樂、静觀為基礎的情緒紓緩個別及小組活動，年青音樂人透過視像活動一同與九龍盲人安老院長者及家屬一同抗疫，走出情緒幽谷。  
項目團隊 #率先開創 在安老院 #首創使用近紅外線色譜分析(f NIRSIT) 視障長者在接受靜觀及靜觀為基礎的音樂活動時，前葉額血液流動情況，為實證為本的長者精神健康踏出重要的一步。 
統籌是項目及研究的九龍盲人安老院註冊職業治療師趙達燊先生將於2021年8月25日(星期三) 香港盲人輔導「 視障長者服務跨專業實證研究」網上專業研討會內介紹項目及初步研究結果。 
顧問專家成員 (排名不分先後) 
吳詠希女士  資深商台節目主持人
葉彩霞女士   社會服務創革者 社企Addoilmusic共同創辦人 註冊社工 
李子軒先生  MegaInspire創辦人 註冊職業治療師 
陳浩雲博士  香港理工大學康復治療科學系助理教授 註冊職業治療師 
葉志剛博士  東華學院醫學及健康科學學院副教授  註冊職業治療師 
郭志謙博士  東華學院醫學及健康科學學院助理教授  註冊職業治療師 
#全港首個
#Mindful_Music
#「正」享「 樂」齡進行曲項目
#九龍盲人安老院綜合治療部
22
22
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
9,HKSB1956,"
7月20日 18:04
  ·
香港職業治療學會(HKOTA)鄭姑娘(主席)及一眾執委*於今天探訪本會院舍服務作探訪及交流，旨在以更全面的角度重新回訪職業治療服務在社區非政府組織(NGO)的發展情況及機遇，協助及提供顧問意見供社區職業治療服務發展最新情况。
香港盲人輔導會院舍服務總監梅姑娘、九龍盲人安老院院長楊姑娘和服務團隊主管一同與香港職業治療學會作發展業務交流會議，同時亦參觀服務單位各項樂齡科技服務發展及跨專業合作項目。
探訪交流活動中，香港理工大學康復治療科學系職業治療實習學生作現場介紹服務單位各項職業治療服務。
重點包括
1. 安老院浴室環境改善工程
2. 應用超聲波技術作口腔肌肉訓練練實時回饋
3. fNIRSIT前沿腦影像與老年精神科及情緒研究
4. 跨專業臨床教育
*香港職業治療學會交流探訪嘉賓（排名不分先後）
執委名單
Joyce Cheung, Hon. Secretary
Amanda Pang, Membership Secretary
Dino Lee, Publicity Secretary
+2
42
42
1 個回應
2次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
K.s. Sun
1
讚好
 · 回覆 · 2星期
"
