,page,raw_data
0,chineseymcahk,"
8月2日 18:00
  ·
【
YMCA x YIC 實現「愛」慈善籃球賽
】上周五YMCA與香港青年工業家協會YIC合辦「實現『愛』慈善籃球賽」
，旨在為本會「愛‧實現」基金籌款，幫助基層弱勢人士實現夢想
，更希望藉此增加香港青年工業家協會與青年交流機會，一齊切磋球技
！  
當日由香港青年工業家協會榮譽會長李沛良、會長張益麟、商務及經濟發展局副局長陳百里博士,JP坐鎮的YIC隊，與YMCA隊及聯合商會青委隊進行對戰，比賽過程相當激烈
，最終YIC隊入球最多成為冠軍。不過為慈善之下無分勝負，大家都一同出力籌款
！ 
#YMCA #青年會 #實現愛慈善籃球賽  #籃球 #慈善籃球賽 #籌款   #陳百里 #鍾志平 #李沛良 #張益麟
+3
12
12
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
1,chineseymcahk,"
7月30日 13:00
  ·
【YMCA義工 以科技傳承愛】YMCA天平長者鄰舍中心舉辦樂齡數碼新體驗計劃，培育一班長者會友成為數碼指導員，利用有趣嘅STEM發光磚、數碼拍攝、VR影片等數碼媒介，向區內認知障礙症長者、照顧者、鄉郊的獨居長者等弱勢社群提供義工服務，包括到戶認知訓練、新科技體驗，藉以將關懷與歡樂傳播開去。
一班數碼指導員嘅熱誠加愛心感動不少服務使用者，加上活動內容新奇、有趣又有意思，電視節目《無耆不有》採訪隊早前專誠追訪幾位指導員、服務使用者同埋負責同事Wendy 。節目今個星期日播出，大家請記得留意收睇啦!
播出日期: 8月1日(星期日)
電視頻道: 85台 無綫財經‧資訊台
播出時間: 當日早上10:30 及 晚上9:00pm 早晚各播一次
#青年會 #YMCA #天平長者鄰舍中心 #天長 #長者服務 #樂齡數碼 #無耆不有 #TVB #85台
+2
25
25
1 個回應
1 次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Sum Yu LO
暫停 GIF
讚好
 · 回覆 · 6天
"
2,chineseymcahk,"
7月28日 18:00
  ·
【 YM-Adventure歷奇樂園 】 市區首個歷奇樂園#新界會所 YM-Adventure最近開幕啦!!樂園樓高11米，集合22個挑戰關卡 ，有全港首創嘅「蜥蜴攀爬牆」之外 ，仲有60米長「飛索橫渡」，啱晒放假同朋友一齊挑戰膽量同極限 ，仲吸引唔少傳媒採訪試玩，即刻一齊去片睇睇 ！樂園位置仲非常方便，距離葵興地鐵站只有10多分鐘#歷奇樂園 https://www.facebook.com/umagazinehk/videos/240989517540964/
最近更特別加推新時段，網上報名連結：https://bit.ly/3u2UNdM 
想了解查詢、開放時間及報名詳情可以到 香港中華基督教青年會新界會所 Chinese YMCA of Hong Kong-New Territories Centre  Facebook專頁
#YMCA #青年會 #歷奇場 #高空歷奇場 #高空挑戰 #歷奇樂園
U Magazine 
7月25日 21:00
  ·
【#香港放遊】小編試玩！新開葵涌11米高歷奇樂園
地址及詳情傳送門：https://bit.ly/3h9yP3c
又多一個地方玩啦！新開葵青葵盛圍YMCA Adventure樓高 11 米，今次小編就試玩全長60 米的雙線道Zipline和全港首創「蜥蜴攀爬牆」、「高速躍下」等等，挑戰路線可分為橫向及垂直，可按個人喜⋯⋯ 查看更多
8
8
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
"
3,chineseymcahk,"
7月22日 13:00
  ·
【義工培訓】YM Volunteer Academy持續提供義工培訓課程，致力提升本會義工的個人能力及服務技巧。我們現正舉辦一個名為「STEM義工培訓及實踐」的活動，培訓青少年義工認識STEM，並啟發他們將STEM應用於社區服務上。16位青少年義工將會在暑假完成16小時的培訓及參觀體驗，其後會以小組形式自主於社區裡設計和推展STEM活動，讓更多人體驗科技帶來的樂趣。 
#YMCA #青年會 #YMVolunteer #STEM #義工 #volunteer
11
11
1 個回應
1 次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Principal Mandy
Pm
讚好
 · 回覆 · 1星期
"
4,chineseymcahk,"
7月21日 08:54
  ·
【青年脈搏】 今日就係DSE放榜大日子
，相信同學難免都會覺得緊張，對於人生分水嶺感到恐懼，今期《青年脈搏》同大家分享RubberBand嘅歌《未來見》
，即使大家在未來路途上各有挑戰
，都要感謝和珍惜與自己一起成長嘅同學們，緊記初心一同在「未來見」
！
立即送上今期文章《未知那遠路裡 同看著時代飛舞》:https://cymca.hk/3kG5EZg
青年脈搏: 一個屬於青少年的平台: 緊貼青少年議題和政策締造回應及發聲平台
#YMCA ⋯⋯ 查看更多
6
6
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
5,chineseymcahk,"
7月20日 22:00
  ·
【伴你DSE放榜
】終於來到DSE成績公佈一刻
，各位考生可能會感到開心、興奮、焦慮、失望或憤怒，無論拎幾多分都好
，都可以獎勵自己一個擁抱讚賞自己好了不起
，唔好忘記身邊仲有家人、朋友、師長都會伸出援手幫忙
，而YMCA都會一直陪住你，觀迎你搵我哋傾訴
！
香港中華基督教青年會 DSE考生情緒支援熱線（生涯規劃組）：
Whatsapp/call: 94337724
服務日期: 7月10至8月15日 10 am-6 pm
#YMCA ⋯⋯ 查看更多
10
10
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
6,chineseymcahk,"
7月16日 18:31
  ·
【YMCA 120】為咗同大家分享YMCA 120周年呢份喜悅，我哋特別推出兩大AR活動，有得影靚相兼玩遊戲！
「投入YM120」AR籃球遊戲
話你知，籃球係由YMCA發明嘅！慶祝120周年又點可以唔打籃球呢？一齊嚟用AR打籃球啦！嚟 #九龍會所、#必列者士街會所 及 #新界會所 ，玩「投入YM120」AR籃球遊戲，只要用手機掃一掃展板上嘅QR Code，就可以大玩AR模擬投籃遊戲，睇片你就知咩料，隨時變身投籃高手冇難度！⋯⋯ 查看更多
8
8
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。"
7,chineseymcahk,"
7月16日 18:31
  ·
【YMCA 120】為咗同大家分享YMCA 120周年呢份喜悅，我哋特別推出兩大AR活動，有得影靚相兼玩遊戲！
「投入YM120」AR籃球遊戲
話你知，籃球係由YMCA發明嘅！慶祝120周年又點可以唔打籃球呢？一齊嚟用AR打籃球啦！嚟 #九龍會所、#必列者士街會所 及 #新界會所 ，玩「投入YM120」AR籃球遊戲，只要用手機掃一掃展板上嘅QR Code，就可以大玩AR模擬投籃遊戲，睇片你就知咩料，隨時變身投籃高手冇難度！
「YM120 賞你相」
一齊嚟影相換禮物！各YMCA會所均設有120周年主題影相打卡位，你仲可以掃瞄展板上嘅QR Code，啟動AR相框影靚相，一共3個款式任你揀！影完記得Upload到你嘅Facebook/Instagram加埋#YMCA120，再Follow埋YMCA Facebook或Instagram專頁，你就可以換領籃球紀念品一份，數量有限，先到先得，送完即止！
#YMCA #青年會 #ymca120 #投入YM120 #YM120賞你相 #AR #相機 #AR遊戲 #籃球 #遊戲 #禮物 #服務社群百廿載 #竭力承傳信望愛 #身心靈需齊建立 #善用科技創未來
8
8
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
8,chineseymcahk,"
7月14日 13:50
  ·
【#香港書展2021】書展限定優惠即日開始！7月14至20日，嚟書展指定攤位，作簡單嘅會員登記，就可以免費獲贈YMCA家庭會籍一年及價值高達HK$400嘅超級福袋！亦可免費成為教育出版社「爸媽加油站」會員，以及隨時接收 AM730 時事電子通訊！
你已經係YMCA會友？咁就要留意由YMCA發出嘅電郵啦！憑指定電郵到「教育出版社‧童樂園」書展攤位購物滿HK$150，即可作HK$20使用！
約定你書展見啦！
#YMCA #青年會 #書展 #書展優惠 #入會 #免費 #送禮 #家庭會籍
教育出版社 EPH
7月13日 18:00
  ·
#香港書展2021
【即場入會     激送超級福袋 
】
教育出版社破天荒與「#AM730」及「#YMCA」兩大機構聯盟，顧客只需即場讚好教育出版社的 facebook 專頁或追蹤 IG 帳號，並且作簡單的會員登記，即可免費獲得價值高達 $400的「超級福袋」一個！禮品非常豐富，絕對不能錯過！！！⋯⋯ 查看更多
13
13
4次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
9,chineseymcahk,"
7月13日 18:00
  ·
【運動好介紹】YMCA 多年前先後將健步足球同手綿球引入香港，運動老少咸宜，深受會友歡迎!依兩項運動尤其適合老友記，老友記不僅能輕鬆掌握運動技術，亦能夠帶來強身健體、加強社交等不同嘅正面效果！
健步足球和手綿球教練鍾Sir 同盧Sir，聯同兩位長者學員美芳同Cecilia上節目介紹依兩樣運動嘅好處，同有幾好玩。節目即將於聽日同後日早上播出啦，大家記得收睇喇！
節目：無綫電視81 翡翠台《快樂長門人》
播出日期：
健步足球介紹 - 明天 (7月14日) 早上9:50
手綿球介紹 - 後日 (7月15日) 早上9:50
#青年會 #YMCA #手綿球 #健步足球 #快樂長門人 #九龍會所
31
31
3次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
