,page,raw_data
0,DiDHK,"
8月5日 21:00
  ·
【恭喜劉慕裳勇奪空手道女子個人形銅牌
】
.
我地同劉慕裳一樣，絕對唔會要您空手而回！
.
我哋決定再再再加碼
只要喺8月31日前，預訂本年內任何門票同體驗活動可享低至半價起
.
只要您符合以下條件就可以享有優惠啦
中文名字為「劉慕裳」預訂任何門票或體驗活動，費用全免
中文名字有「慕」或「裳」預訂任何門票或體驗活動，可享半價優惠
.
中咗
BINGO
快啲打嚟2310-0833訂票啦！同我哋同事講低您想預訂嘅日期同時間。
.
最最最重要係您中咗邊個字，我哋就會為您安排㗎啦
.
圖片來源：路透社
.
條款及細則:
- 需在2021年8月31日或之前透過電話預訂
- 體驗必須在2021年內完成
- 當日體驗，需出示個人身份證明文件
- 每人只可享優惠一次
- 優惠不適用於團體預訂、企業工作坊、暗中夜宴及產品購買
- 一經確認，不接受更改及取消 
- 如有任何更改 恕不另行通知
- 如有任何爭議，黑暗中對話（香港）基金會有限公司將保留最終決定權。
#劉慕裳 #空手道 #奧運銅牌  #香港運動員 #港隊  #東京奧運 #銅牌 #為港爭光 #黑暗中對話 #一邊玩一邊體驗 #視障 #聾人 #慈善 #共融 #PoDs #多元人才 #DialogueInAllColors #DialogueExperience #DialogueInTheDark
24
24
5次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
1,DiDHK,"
8月5日 18:30
  ·
【恭喜香港乒乓球女團勇奪奧運銅牌
】
.
小編我今日睇到好肉緊
見到三位女將杜凱琹、蘇慧音同李皓晴咁犀利
相信除咗一路嘅努力，教練李靜都功不可沒
李教練一聲：「你企中間啦！」真係令全港市民非常深刻
.
為咗答謝一眾運動員同教練嘅努力，除咗我哋先前推出嘅【2020年東奧/殘奧運動員限定優惠】，香港乒乓球女團教練李靜都可以帶一位朋友一齊免費參加黑暗中對話嘅旅程
.
另外，我哋決定加碼！推出8月份快閃優惠
喺8月31日前，預訂本年內任何門票同體驗活動低至半價起
.
只要您符合以下條件就可以享有優惠啦
中文名字為「李靜」預訂任何門票或體驗活動，費用全免
中文名字為「李靜」而大叫暗號「你企中間啦！」，一位同行者預訂任何門票或體驗活動，可享半價優惠
.
中咗
BINGO
快啲打嚟2310-0833訂票啦！同我哋同事講低您想預訂嘅日期同時間。
最最最重要係講返聲 #你企中間啦，我哋就會為您安排㗎啦
.
圖片來源：Getty Images & 頭條日報
.
條款及細則:
- 需在2021年8月31日或之前透過電話預訂
- 體驗必須在2021年內完成
- 當日體驗，需出示個人身份證明文件
- 每人只可享優惠一次
- 優惠不適用於團體預訂、企業工作坊、暗中夜宴及產品購買
- 一經確認，不接受更改及取消 
- 如有任何更改 恕不另行通知
- 如有任何爭議，黑暗中對話（香港）基金會有限公司將保留最終決定權。
#杜凱琹 #蘇慧音 #李皓晴 #奧運銅牌 #香港運動員 #李靜 #教練 #港隊  #東京奧運 #銅牌 #為港爭光 #黑暗中對話 #一邊玩一邊體驗 #視障 #聾人 #慈善 #共融 #PoDs #多元人才 #DialogueInAllColors #DialogueExperience #DialogueInTheDark
38
38
4次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
2,DiDHK,"
8月3日 18:30
  ·
如果有一日...您無咗視覺，您仲會唔會知道自己食緊咩？
.
詢問度極高嘅暗中夜宴
返嚟啦
.
睇唔到但摸得到
...
睇唔到但聞得到
...
睇唔到但食得到
...
.
全港唯一，全黑進食。
.
活動詳情傳送門
https://dialogue-experience.hk/....../dinner-in-the-dark-tc/
.
另外，為咗答謝大家嘅支持，我哋加推消費券限定優惠：
只要以消費券購買暗中夜宴
，即可以優惠價港幣$700購買成人門票(原價港幣$980)
.
*顧客若以Tap&Go拍住賞使用消費券，需將Tap&Go內置的虛擬 MasterCard 或虛擬銀聯卡加入Apple Pay 或 Google Pay 手機銀包，方可用以購買本館體驗活動。
.
#DinnerInTheDark #暗中夜宴 #消費券 #五千蚊 #tapngo #拍住賞 #支付寶 #AlipayHK #黑暗中對話 #一邊玩一邊體驗 #視障 #聾人 #慈善 #共融 #PoDs #多元人才 #DialogueInAllColors #DialogueExperience #DialogueInTheDark
35
35
10次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
3,DiDHK,"
8月3日 18:30
  ·
Janice喺公司又偷懶
 開會又掛住傾計 
 究竟Eunice用咩法寶對付Janice呢個薪水小偷呢
即刻去片
(片段攝於疫情緩和時）    
記得Like, Share 同subscribe 我哋呀
搶先訂閱
 Youtube頻道
對話體驗 Dialogue Experience
https://youtu.be/MbFF7ZTITpk
—————————————
黑暗中對話賽馬會對話學院為香港賽馬會慈善信託基金捐助的項目。此項目籍著不同線上及線下平台一起推動共融工作，讓大眾從不同角度及途徑下認識多元人才的日常及就業，並體驗有關的活動，一起共創共融香港。
#對話體驗 #黑暗中對話 #香港賽馬會慈善信託基金 #黑暗中對話賽馬會對話學院 #DEOnline #dialogueonline #共融 #PoDs #多元人才 #每星期放送  #故事 #youtube #搶先看 #讚好 #追蹤 #DialogueInAllColors #JCDA
12
12
3次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
4,DiDHK,"
8月2日 21:45
  ·
自2019年底搬去D2 Place全新館址之後，大家有冇發現我哋多咗好多互動數碼元素呢？
例如有智能POS的售票機同智能RFID手帶方便遊戲計分等等
其實呢啲都係由香港電訊HKT提供～
想知道我哋同香港電訊有咩合作，點樣注入新零售概念？⋯⋯ 查看更多
18
18
2次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
5,DiDHK,"
7月31日 11:00
  ·
【#運動員限定優惠】每位運動員都係香港人心中嘅奧運金牌
.
相信呢個星期大家都同小編一樣，日日望實各大奧運直播同比賽賽程，為香港運動員打氣
 無論最後結果係點，見到佢哋咁努力去比賽，小編都好感動，好驕傲
.
為咗感激佢哋嘅努力，我哋推出【2020年東奧/殘奧運動員限定優惠】
只要係2020年東京奧運或殘奧會參賽嘅運動員，就可以喺本年12月31日或之前，免費帶同一位朋友參加我哋嘅黑暗中對話旅程
.
快啲like⋯⋯ 查看更多
29
29
2個回應
7次分享
讚好
回應
分享
2個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
頭號粉絲
Cora Chu
支持香港運動員！
讚好
 · 回覆 · 6天
查看另 1 則回應"
6,DiDHK,"
7月28日 18:30
  ·
【#DETV】我有百寶之便攜放大器
視障人士買外賣係咪一定要靠身邊人同佢講有咩食呢
佢哋自己一個嘅時候又點知有咩食？
又點揀食物？
唔洗𢲷頭
！一齊黎睇下Edward出動咩法寶幫Janice買外賣啦
記得Like, Share 同subscribe 我哋呀
搶先訂閱
 Youtube頻道
對話體驗 Dialogue Experience
https://youtu.be/MbFF7ZTITpk
立即追蹤
IG
Dialogue Experience 
https://www.instagram.com/dialogueexperience/
—————————————
黑暗中對話賽馬會對話學院為香港賽馬會慈善信託基金捐助的項目。此項目籍著不同線上及線下平台一起推動共融工作，讓大眾從不同角度及途徑下認識多元人才的日常及就業，並體驗有關的活動，一起共創共融香港。
#對話體驗 #黑暗中對話 #香港賽馬會慈善信託基金 #黑暗中對話賽馬會對話學院 #DEOnline #dialogueonline #共融 #PoDs #多元人才 #每星期放送  #故事 #youtube #搶先看 #讚好 #追蹤 #DialogueInAllColors #JCDA
16
16
2次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
7,DiDHK,"
7月28日 10:55
  ·
【恭喜何詩蓓勇奪奧運銀牌
】
.
好消息一浪接
一浪
小編我頭先喺公司直情大叫咗出嚟！我哋決定再加推7月份快閃優惠
只要喺本月31日前，預訂本年內任何門票同體驗活動低至半價起
.
只要您嘅中文名字符合以下條件就可以享有優惠啦
名字包含「詩」或「蓓」預訂任何門票同體驗活動，可享半價優惠
名字為「何詩蓓」預訂任何門票同體驗活動，費用全免
.
中咗
BINGO
快啲打嚟2310-0833訂票啦！
.
同我哋同事講低您想預訂嘅門票同體驗活動，仲有日期時間。最最最重要係您個名中咗邊個字，我哋就會為您安排㗎啦！
.
條款及細則:
- 需在7月31日或之前透過電話預訂
- 體驗必須在2021年內完成
- 當日體驗，需出示個人身份證明文件
- 每人只可享優惠一次
- 不適用於團體預訂、企業工作坊及購買產品
- 一經確認，不接受更改及取消 
- 如有任何更改，恕不另行通知
- 如有任何爭議，黑暗中對話（香港）基金會有限公司將保留最終決定權。
#奧運 #香港運動員 #東京奧運 #自由式 #200米 #何詩蓓  #銀牌 #為港爭光 #黑暗中對話 #一邊玩一邊體驗 #視障 #聾人 #慈善 #共融 #PoDs #多元人才 #DialogueInAllColors #DialogueExperience #DialogueInTheDark
29
29
3次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
"
8,DiDHK,"
7月27日 21:30
  ·
感謝您乘搭無聲航空DE2021航班
.
剛過去嘅星期六日，我哋無聲航空帶大家靜雞雞去咗轉旅行
走到 #靜雞雞市集，跨越唔同國家購物
帶大家重拾旅行嘅感覺
係度，好多謝各位客人同檔主嘅支持，希望大家有個難忘嘅旅程
.
記得繼續緊貼我哋Facebook ，留意最新活動，下次有得飛再預埋您
.
#無聲航空 #無聲旅程 #靜雞雞市集 #國際 #DE2021 #旅行 #暑假 #黑暗中對話 #一邊玩一邊體驗 #共融 #PoDs #多元人才 #DialogueInAllColors #DialogueExperience #DialogueInTheDark
+4
46
46
2個回應
1 次分享
讚好
回應
分享
2個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Roger Kakui Lai
Peter, can I have your E.M. Address?
讚好
 · 回覆 · 4天
查看另 1 則回應
"
9,DiDHK,"
7月27日 10:13
  ·
【恭喜張家朗勇奪奧運金牌
】
.
尋晚興奮嘅點止您一個
小編我都大叫咗出嚟呀！咁開心嘅時刻，我哋決定推出7月份快閃優惠
只要喺本月31日前，預訂本年內任何門票同體驗活動低至半價起
.
只要您嘅中文名字符合以下條件就可以享有優惠啦
名字包含「家」或「朗」預訂任何門票同體驗活動，可享半價優惠
名字為「張家朗」預訂任何門票同體驗活動，費用全免
.
中咗
BINGO
快啲打嚟2310-0833訂票啦！
.
同我哋同事講低您想預訂嘅門票同體驗活動，仲有日期時間。最最最重要喺您個名中咗邊個字，我哋就會為您安排㗎啦！
.
條款及細則:
- 需在7月31日或之前透過電話預訂
- 體驗必須在2021年內完成
- 當日體驗，需出示個人身份證明文件
- 每人只可享優惠一次
- 不適用於團體預訂、企業工作坊及購買產品
- 一經確認，不接受更改及取消 
- 如有任何更改，恕不另行通知
- 如有任何爭議，黑暗中對話（香港）基金會有限公司將保留最終決定權。
#奧運金牌 #香港運動員 #東京奧運 #花劍 #張家朗  #金牌 #為港爭光 #劍壇193 #黑暗中對話 #一邊玩一邊體驗 #視障 #聾人 #慈善 #共融 #PoDs #多元人才 #DialogueInAllColors #DialogueExperience #DialogueInTheDark
33
33
9次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
