,page,raw_data
0,noahsark,"
#Noahsarkhk #挪亞方舟 #馬灣 #夏日森動大歷險 #探險 #恐龍 #亞馬遜 #打卡 #親子活動 #暑假活動#exploreHongKong #discoverHongKong
 #親子好去處 #假日好去處 #暑假好去處 
#bossbb_kieran  #bossbb__happylife #kidsblogger  #kidsactivities ##sohappy
 #kidskol #親子活動 #親子日誌 #香港媽媽 #親子blogger #親子KOL #育兒日記 
❤️‍🔥
想知道送禮活動及優惠碼
加入
 https://bit.ly/3p7Xw30
Follow us
FB: 波士BB ʜᴀ͟ᴘ͟ᴘ͟ʏ 𝘭𝘪𝘧𝘦
IG: @bossbb__happylife  @bossbb_kieran
MeWe: https://mewe.com/p/bossbbbossmahappylife
YT: http://www.youtube.com/c/BossBBHappyLife
35
35
1 個回應
4次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
陳陳
買二送一優惠可以有優先預約遊戲嗎？
讚好
 · 回覆 · 22小時
其他帖子
"
1,noahsark,"
8月4日 19:13
  ·
【方舟小醫生 與長者共度暖意中秋
】
提倡長幼共融精神嘅公益活動項目-「方舟小醫生」，誠邀各位富有愛心
嘅小朋及其家長，報名參加「樂也融融賀中秋」，與一眾長者歡度佳節。齊來遊覽方舟和製作節慶藝術小手工，為長者帶來點點温暖，並可藉此學習彼此優點，互助共融，體驗別具意義嘅中秋活動！
方舟小醫生公益活動 - 樂也融融賀中秋：
活動日期：2021年9月11日（星期六）
報名資格：4至8歲之挪亞學堂會員
名額: 15位小朋友及15位家長
報名日期:即日起至2021年8月11日 
收費: 是次公益活動費用全免 (遊覽園內指定景點及區域)
活動及報名詳情：https://bit.ly/2Vx35hj 
#方舟小醫生  #公益活動  #長幼共融 #互助互諒 #分享愛 #有意義的中秋節
20
20
2個回應
4次分享
讚好
回應
分享
2個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Angel Li
打咗電話去羅亞方舟酒店好多次都沒有人聽，想知道酒店check-in時間係幾剛，酒店內有什麼設施？
讚好
 · 回覆 · 2天
作者
"
2,noahsark,"
Angel Li
謝謝你的查詢！
酒店check in 時間為下午3：00；酒店LG大堂設有少量室內遊戲供賓客免費遊樂，另可自費參加啤啤熊之友製作室及童趣飛馳樂等。
讚好
 · 回覆 · 1天
"
3,noahsark,"
8月3日 17:20
  ·
【餐廳及宴會場地 新增C類運作模式】
想與更多親友一同聚餐，共締歡樂回憶？香港挪亞方舟之豐盛閣餐廳及指定宴會場地，已經根據政府最新指引，新增C類運作模式。
顧客如使用「安心出行」流動應用程式，即可選擇喺餐廳指定區域裡，與更多親友共享美饌，每枱最多可坐6位。而喺舉辦宴會時，亦可自選設定為C區，每枱最多可坐6位。讓大家開懷暢聚，締造更多難忘回憶！
各式餐飲優惠：https://bit.ly/2WQJ4mL
查詢及電話預訂：(852) 3411 8836 
各類宴會場地：https://bit.ly/3xlVQ9a
查詢及電話預訂：(852) 3411 8800
28
28
2次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
4,noahsark,"
7月27日 19:09
  ·
謝謝 人生就是不停的打卡  早前嚟到挪亞方舟度假酒店，品嚐「花膠•龍蝦•海鮮」夏日盛薈自助晚餐，一齊睇睇佢嘅大滿足分享！
「花膠•龍蝦•海鮮」夏日盛薈自助晚餐詳情：https://bit.ly/34ejEzN
+6
人生就是不停的打卡在挪亞方舟度假酒店
7月16日 19:35
  · 香港
  ·
[避世小旅行‧馬灣挪亞方舟] Part 1
前幾日去挪亞方舟玩，最印象深刻就係試佢哋嘅「花膠•龍蝦•海鮮」夏日盛薈自助晚餐！
方舟嘅酒店食呢個自助餐海鮮選擇超多，有波士頓龍蝦、鱈蟹腳、清蒸石班、花膠湯飯、各類刺身及壽司等，琳瑯滿目，有選擇困難症嘅人一定有排煩！
另外，呢度嘅熱葷都唔錯，我就最愛燒美國有骨肉⋯⋯ 查看更多
33
33
2次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
5,noahsark,"
7月26日 18:19
  ·
【森動歷險旅程 已經出發喇！】
好多一家大細都嚟到香港挪亞方舟，參加咗「夏日森動大歷險」喇！既有挑戰全港首創嘅「室内遙控越野攀爬車」
 ，亦有變身小機師一試衝上雲霄嘅滋味 
，又大玩萌趣動物車及高卡車等體驗，仲一同了解動物生態及保育等知識呢，一齊開心share啦
！
香港挪亞方舟 - 夏日森動大歷險：
- 即日起至2021年8月29日 (逢星期六及日)
- 活動期間設有「買2送1」入場門票優惠
- 每位門票持有人可獲贈10張遊戲券，適用於參加部份活動
- 部份活動於指定日子開放/及另需收費/及需符合特定參加條件
- 以上圖片只供參考，以現場安排為準 
查詢熱線：3411 8888
活動詳情：https://bit.ly/35WXm6y 
#挪亞方舟 #夏日森動大歷險 #馬灣 #暑假活動 #暑假好去處 #親子好去處 #買2送1 #summer2021
+4
55
55
7次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
6,noahsark,"
7月23日 18:00
  ·
【消費券全攻略！歎盡海景下午茶及海鮮自助晚餐
】
電子消費券即將到手，大家諗好點用未呢
？如果你都Plan緊同屋企人嚟一個難忘滋味嘅 Ｗeekend，可以考慮吓喺挪亞方舟度假酒店嘅豐盛閣餐廳歎個海景美饌
！即刻熟讀以下覓食攻略，預早Book位，準備用消費券歎勻環球美食啦
！
「寰宇菓漾遊」海景下午茶
，匯聚香芒熱情果煙三文魚卷、泰式辣蝦沙律配燒菠蘿、彩虹啫喱杯、杏仁青蘋果、士多啤梨日式芝士餅等多款美食
，令你嚐盡一道道融入各國風味及時令果漾嘅精緻美點，望住青馬大橋及馬灣東灣沙灘來一個寫意下晝
！
「夏日盛⋯⋯ 查看更多
"
7,noahsark,"
公園
瞭解詳情
190
190
35個回應
25次分享
讚好
回應
分享
35個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Hanlee Yip
下午茶幾錢一位？
讚好
 · 回覆 · 2星期
作者
"
8,noahsark,"
Hanlee Yip
謝謝你的查詢！
下午茶為$468 兩位份量，另收加一，持挪亞方舟當日門票可享9折。
讚好
 · 回覆 · 1星期
檢視另14則回應
"
9,noahsark,"
7月21日 18:41
  ·
最近挪亞方舟舉行「夏日森動大歷險」，咁多位24孝爸媽，係咪好想知有咩俾小朋友玩呢？一於參考吓 四月媽媽手記  嘅親身體驗啦！ 
活動詳情：https://bit.ly/35WXm6y
+15
四月媽媽手記在"
